"id","timestampStart","timestampEnd","bikeNumber","stationStart","stationEnd","startLocationLat","startLocationLon","endLocationLat","endLocationLon","distanceInMeters","timeInMinutes"
"1","2022-10-12","2022-10-12","1260","17","73","46.053144","14.513479","46.090608","14.471637","5274","39"
"2","2022-10-13","2022-10-13","1260","73","29","46.090608","14.471637","46.074193","14.511134","3558","23"
"3","2022-10-13","2022-10-13","1260","29","8","46.074193","14.511134","46.05682","14.50551","1979","15"
"4","2022-10-13","2022-10-13","1260","8","13","46.05682","14.50551","46.047565","14.495687","1279","12"
"5","2022-10-13","2022-10-13","1260","13","18","46.047565","14.495687","46.044629","14.486699","768","77"
"6","2022-10-13","2022-10-13","1260","18","41","46.044629","14.486699","46.041753","14.477016","815","9"
"7","2022-10-13","2022-10-13","1260","41","18","46.041753","14.477016","46.044629","14.486699","815","6"
"8","2022-10-13","2022-10-13","1260","18","41","46.044629","14.486699","46.041753","14.477016","815","5"
"9","2022-10-13","2022-10-13","1260","41","78","46.041753","14.477016","46.039384","14.485458","705","9"
"10","2022-10-13","2022-10-13","1260","78","19","46.039384","14.485458","46.05952","14.4982","2446","35"
"11","2022-10-13","2022-10-13","1260","19","62","46.05952","14.4982","46.077302","14.482581","2317","18"
"12","2022-10-14","2022-10-14","1260","62","21","46.077302","14.482581","46.06928","14.48971","1048","8"
"13","2022-10-14","2022-10-14","1260","21","9","46.06928","14.48971","46.057421","14.510265","2066","90"
"14","2022-10-14","2022-10-14","1260","9","34","46.057421","14.510265","46.068805","14.546257","3059","23"
"15","2022-10-14","2022-10-14","1260","34","30","46.068805","14.546257","46.07589","14.52011","2171","20"
"16","2022-10-15","2022-10-15","1260","30","34","46.07589","14.52011","46.068805","14.546257","2171","17"
"17","2022-10-13","2022-10-13","793","54","30","46.065206","14.529911","46.07589","14.52011","1409","12"
"18","2022-10-13","2022-10-13","793","30","34","46.07589","14.52011","46.068805","14.546257","2171","15"
"19","2022-10-13","2022-10-13","793","34","54","46.068805","14.546257","46.065206","14.529911","1326","8"
"20","2022-10-13","2022-10-13","793","54","13","46.065206","14.529911","46.047565","14.495687","3295","24"
"21","2022-10-13","2022-10-13","793","13","14","46.047565","14.495687","46.046377","14.501256","451","6"
"22","2022-10-13","2022-10-13","793","14","80","46.046377","14.501256","46.045","14.51846","1340","8"
"23","2022-10-13","2022-10-13","793","80","9","46.045","14.51846","46.057421","14.510265","1519","18"
"24","2022-10-13","2022-10-13","793","9","16","46.057421","14.510265","46.05257","14.51928","882","9"
"25","2022-10-13","2022-10-13","793","16","1","46.05257","14.51928","46.051367","14.506542","995","9"
"26","2022-10-13","2022-10-13","793","1","8","46.051367","14.506542","46.05682","14.50551","611","47"
"27","2022-10-13","2022-10-13","793","8","53","46.05682","14.50551","46.053241","14.486206","1546","14"
"28","2022-10-13","2022-10-13","793","53","26","46.053241","14.486206","46.051439","14.49273","543","6"
"29","2022-10-13","2022-10-13","793","26","41","46.051439","14.49273","46.041753","14.477016","1624","17"
"30","2022-10-13","2022-10-13","793","41","13","46.041753","14.477016","46.047565","14.495687","1583","9"
"31","2022-10-13","2022-10-13","793","13","64","46.047565","14.495687","46.042867","14.495239","523","30"
"32","2022-10-13","2022-10-13","793","64","17","46.042867","14.495239","46.053144","14.513479","1816","21"
"33","2022-10-13","2022-10-13","793","17","18","46.053144","14.513479","46.044629","14.486699","2279","63"
"34","2022-10-13","2022-10-13","793","18","3","46.044629","14.486699","46.050388","14.504623","1528","14"
"35","2022-10-13","2022-10-13","793","3","8","46.050388","14.504623","46.05682","14.50551","718","5"
"36","2022-10-13","2022-10-13","793","8","51","46.05682","14.50551","46.047689","14.547416","3398","30"
"37","2022-10-14","2022-10-14","793","51","25","46.047689","14.547416","46.055801","14.534156","1366","11"
"38","2022-10-14","2022-10-14","793","25","5","46.055801","14.534156","46.046498","14.505148","2472","18"
"39","2022-10-14","2022-10-14","793","5","17","46.046498","14.505148","46.053144","14.513479","981","9"
"40","2022-10-14","2022-10-14","793","17","4","46.053144","14.513479","46.052431","14.503257","795","8"
"41","2022-10-14","2022-10-14","793","4","16","46.052431","14.503257","46.05257","14.51928","1240","180"
"42","2022-10-14","2022-10-14","793","16","44","46.05257","14.51928","46.064546","14.518013","1335","8"
"43","2022-10-14","2022-10-14","793","44","11","46.064546","14.518013","46.06005","14.51302","632","8"
"44","2022-10-14","2022-10-14","793","11","7","46.06005","14.51302","46.054168","14.50706","800","9"
"45","2022-10-14","2022-10-14","793","7","20","46.054168","14.50706","46.06342","14.494588","1410","8"
"46","2022-10-14","2022-10-14","793","20","7","46.06342","14.494588","46.054168","14.50706","1410","12"
"47","2022-10-14","2022-10-14","793","7","29","46.054168","14.50706","46.074193","14.511134","2248","26"
"48","2022-10-14","2022-10-14","793","29","27","46.074193","14.511134","46.065136","14.509112","1019","12"
"49","2022-10-14","2022-10-14","793","27","9","46.065136","14.509112","46.057421","14.510265","862","12"
"50","2022-10-14","2022-10-15","793","9","29","46.057421","14.510265","46.074193","14.511134","1865","11"
"51","2022-10-15","2022-10-15","793","29","43","46.074193","14.511134","46.086761","14.514151","1416","15"
"52","2022-10-12","2022-10-12","820","54","29","46.065206","14.529911","46.074193","14.511134","1763","17"
"53","2022-10-12","2022-10-12","820","29","26","46.074193","14.511134","46.051439","14.49273","2903","33"
"54","2022-10-12","2022-10-12","820","26","4","46.051439","14.49273","46.052431","14.503257","822","8"
"55","2022-10-12","2022-10-12","820","4","10","46.052431","14.503257","46.05763","14.514264","1029","12"
"56","2022-10-12","2022-10-12","820","10","55","46.05763","14.514264","46.048982","14.522709","1162","12"
"57","2022-10-12","2022-10-12","820","55","26","46.048982","14.522709","46.051439","14.49273","2336","21"
"58","2022-10-12","2022-10-12","820","26","46","46.051439","14.49273","46.059433","14.52051","2326","20"
"59","2022-10-12","2022-10-12","820","46","40","46.059433","14.52051","46.039641","14.472664","4307","33"
"60","2022-10-13","2022-10-13","820","40","1","46.039641","14.472664","46.051367","14.506542","2928","21"
"61","2022-10-13","2022-10-13","820","1","22","46.051367","14.506542","46.040213","14.512044","1311","11"
"62","2022-10-13","2022-10-13","820","22","40","46.040213","14.512044","46.039641","14.472664","3049","21"
"63","2022-10-13","2022-10-13","820","40","18","46.039641","14.472664","46.044629","14.486699","1220","5"
"64","2022-10-13","2022-10-13","820","18","13","46.044629","14.486699","46.047565","14.495687","768","9"
"65","2022-10-13","2022-10-13","820","13","3","46.047565","14.495687","46.050388","14.504623","759","8"
"66","2022-10-13","2022-10-13","820","3","9","46.050388","14.504623","46.057421","14.510265","895","9"
"67","2022-10-13","2022-10-13","820","9","46","46.057421","14.510265","46.059433","14.52051","824","9"
